X,Y,Z
-31.8042626953125,-114.6955859375,25.1765380859375
-30.8081079101562,-114.56220703125,25.1760522460938
-29.7856860351562,-114.40400390625,25.1748510742188
-28.7601611328125,-114.25486328125,25.1738403320313
-27.6722534179688,-114.120380859375,25.1732885742187
-26.5586743164063,-113.93927734375,25.1718310546875
-25.5415551757813,-113.837158203125,25.1717504882813
-24.3954296875,-113.63703125,25.169921875
-23.2757763671875,-113.49322265625,25.1691967773437
-22.0613635253906,-113.318828125,25.1681225585938
-21.0066723632813,-113.203671875,25.1683935546875
-19.788505859375,-113.036591796875,25.1680200195313
-18.77443359375,-112.8646484375,25.1670239257813
-17.6445141601562,-112.726748046875,25.1670336914062
-16.3923205566406,-112.565419921875,25.1668676757813
-15.1605065917969,-112.381240234375,25.1664331054688
-14.104580078125,-112.218603515625,25.1659497070312
-12.9545373535156,-112.03921875,25.1653881835937
-11.9072125244141,-111.93462890625,25.1660815429688
-10.8381176757813,-111.76154296875,25.1654296875
-9.79106323242187,-111.631708984375,25.1655981445312
-8.72957641601563,-111.48330078125,25.1654272460937
-7.71475280761719,-111.33767578125,25.1651928710938
-6.52363464355469,-111.146240234375,25.1645141601563
-5.29996948242187,-110.961328125,25.164521484375
-4.15377532958984,-110.8008984375,25.164814453125
-3.13163402557373,-110.652939453125,25.1649780273438
-2.00887550354004,-110.494208984375,25.1652416992188
-0.923428192138672,-110.35884765625,25.1658569335938
0.131521301269531,-110.225791015625,25.1664038085937
1.35888153076172,-110.02001953125,25.1660546875
2.56766906738281,-109.866826171875,25.1666796875
3.68217407226562,-109.72556640625,25.1672509765625
4.69527404785156,-109.57306640625,25.167314453125
5.71492553710937,-109.436279296875,25.1676831054688
6.89683349609375,-109.2238671875,25.1670581054688
8.05279907226562,-109.064404296875,25.16740234375
9.09649780273437,-108.920390625,25.16732421875
10.2481115722656,-108.766015625,25.1673266601562
11.5021594238281,-108.601220703125,25.1674047851563
12.70134765625,-108.4215234375,25.1670166015625
13.7642114257812,-108.26171875,25.1666650390625
14.7964184570312,-108.106396484375,25.1663354492187
15.9047888183594,-107.9426953125,25.16603515625
16.9971105957031,-107.798916015625,25.1660766601562
18.2642211914062,-107.6387890625,25.1662670898437
19.2763940429688,-107.48736328125,25.1659692382812
20.2758471679687,-107.357822265625,25.1660424804688
21.3335620117188,-107.1715625,25.1651586914063
22.37873046875,-107.04310546875,25.1653930664062
23.472021484375,-106.871884765625,25.1649047851562
24.4831640625,-106.74478515625,25.1650634765625
